CUSTOMER_NUMBER,AGE,TENURE_DAYS,PRODUCT_COUNT,CA_BALANCE_MEAN,CA_BALANCE_TREND,CA_BALANCE_STD,TD_BALANCE_MEAN,LOAN_AMOUNT_MEAN,LOAN_TREND,NET_WORTH_PROXY,IF_SCORE,LOF_SCORE,RISK_SCORE,RISK_LEVEL,REASONS
835949,40.388774811772755,260,2,0.0,0.0,0.0,0.0,86584097.1111111,1653225.3666666667,-86584097.1111111,-0.040259656710782576,-3.126376796416456,3,High Risk,Số lượng khoản vay bất thường: 3 khoản vay đồng thời
349298,35.0362765229295,120,2,17056195.19852501,20467434.238230012,34112390.39705002,750000000.0,0.0,0.0,767056195.198525,-0.046082279933703174,-1.8287484088107397,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 34,112,390 VND)"
776539,19.096509240246405,37,3,16924929.57,13850592.479999999,9793847.8660594,9193548.385,0.0,0.0,26118477.955,-0.07164051108364633,-1.7761625737204547,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 9,793,848 VND)"
85860,34.171115674195754,40,2,20128754.805,-39862490.39,28187037.269752584,0.0,200000000.0,200000000.0,-179871245.195,-0.04234170683547722,-2.720357047355729,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -39,862,490/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 28,187,037 VND)"
310900,40.629705681040384,341,3,6237295.975000001,1334423.97,5125285.625863691,0.0,726957244.4166666,-13188964.115384616,-720719948.4416666,-0.012828297837547242,-1.4767787716866168,3,High Risk,"Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 5,125,286 VND)"
743987,88.0,134,1,6758056.206,-6403588.206,14318858.528531928,0.0,0.0,0.0,6758056.206,-0.011090939843453551,-1.8205459661242915,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -6,403,588/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 14,318,859 VND)"
98874,28.61327857631759,296,3,19141988.85882001,-7864005.81870061,27738166.38737434,58887096.775,1053330800.0,22802351.515151516,-975301714.36618,-0.13091014963387604,-1.4751058432445388,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -7,864,006/tháng) | Dư nợ tăng đột biến: Khối lượng vay tăng nhanh (22,802,352/tháng), dư nợ hiện tại: 1,053,330,800 VND | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 27,738,166 VND) | Số lượng khoản vay bất thường: 3 khoản vay đồng thời | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -975,301,714 VND"
920198,23.874058863791923,61,2,14643630.989999998,29092135.32,20571246.163968667,0.0,1640000000.0,292500000.0,-1625356369.01,-0.05543937012566713,-2.9190964170159637,3,High Risk,"Dư nợ tăng đột biến: Khối lượng vay tăng nhanh (292,500,000/tháng), dư nợ hiện tại: 1,640,000,000 VND | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 20,571,246 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,625,356,369 VND"
739619,37.10335386721424,348,2,11484471.80284167,-4082899.957017134,22139195.113465227,686114102.8483334,0.0,0.0,697598574.651175,-0.02264630436650239,-1.814500665817772,3,High Risk,"Dòng tiền ra bất thường: Số dư TKTT giảm mạnh (xu hướng: -4,082,900/tháng) | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 22,139,195 VND)"
385172,36.668035592060235,239,3,11528668.124016674,9774189.303442864,27775919.547467023,500000000.0,2000000000.0,1000000000.0,-1488471331.8759832,-0.14251025287072427,-2.6841176553055455,3,High Risk,"Dư nợ tăng đột biến: Khối lượng vay tăng nhanh (1,000,000,000/tháng), dư nợ hiện tại: 2,000,000,000 VND | Biến động số dư bất thường: Tài khoản thanh toán có độ biến động rất cao (std: 27,775,920 VND) | Giá trị ròng âm lớn: Dư nợ vượt xa tổng tiền gửi, net worth: -1,488,471,332 VND"
