PROFIT MATRIX (VND):
|         | -5% CR K2/K3       | -10% CR K2/K3      | -15% CR K2/K3      | -20% CR K2/K3      |
| ------- | ------------------ | ------------------ | ------------------ | ------------------ |
| +10% FP | 2484921525.5884748 | 2356721883.8564434 | 2228582485.738873  | 2100833038.0417368 |
| +20% FP | 2483980240.035218  | 2355819811.1819086 | 2227659697.612129  | 2099891845.7599475 |
| +30% FP | 2483156631.234981  | 2354974169.982731  | 2226837112.7342877 | 2099088421.84695   |
| +40% FP | 2482447664.219116  | 2354290127.495304  | 2226151983.5788136 | 2098401413.9937649 |

RM SLOTS MATRIX:
|         | -5% CR K2/K3 | -10% CR K2/K3 | -15% CR K2/K3 | -20% CR K2/K3 |
| ------- | ------------ | ------------- | ------------- | ------------- |
| +10% FP | 24.0         | 24.0          | 23.0          | 19.0          |
| +20% FP | 24.0         | 24.0          | 23.0          | 19.0          |
| +30% FP | 24.0         | 24.0          | 23.0          | 19.0          |
| +40% FP | 24.0         | 24.0          | 23.0          | 19.0          |
